Software                            Resource Provider        
gmpy2                               aces, faster             
gmt                                 anvil                    
gnu                                 ookami                   
gnu9                                kyric                    
gnuplot                             anvil, darwin, aces, faster, delta, expanse, ookami
gnutls                              aces, faster             
go                                  darwin, kyric, aces, faster, expanse, ookami
go-bootstrap                        kyric                    
goatools                            anvil                    
gobff                               faster                   
gobject-introspection               aces, faster             
golang                              darwin                   
gompi                               aces, faster             
gompic                              aces, faster             
googletest                          aces, faster             
gpaw                                anvil                    
gperf                               aces, faster, ookami     
gperftools                          aces, faster, ookami     
gpflow                              aces, faster             
gpu                                 expanse, ookami          
gpustat                             aces, faster             
gpy                                 faster                   
gpytorch                            faster                   
graalvm                             faster                   
grace                               expanse                  
gradle                              faster                   
grads                               anvil                    
graphblas                           aces                     
graphene                            aces, faster             
graphicsmagick                      aces, faster             
graphite2                           aces, faster             
graphlan                            anvil                    
graphmap                            anvil                    
graphviz                            aces, faster, expanse    
graphviz-python                     aces                     
grass                               aces, faster             
greenlet                            aces                     
gridss                              anvil                    
groff                               aces, faster             
gromacs                             anvil, bridges2, darwin, kyric, aces, faster, delta, expanse, ookami, stampede3
grpc                                faster                   
gsd-vmd                             faster                   
gseapy                              anvil                    
gsl                                 anvil, darwin, aces, faster, delta, expanse, stampede3
gslib                               aces, faster             
gst-plugins-bad                     aces, faster             
gst-plugins-base                    aces, faster             
gstreamer                           anvil, aces, faster      
gtdbtk                              anvil                    
gthumb                              delta                    
gtk+                                faster                   
gtk2                                aces, faster             
gtk3                                aces, faster             
gtk4                                aces, faster             
gts                                 aces, faster             
gubbins                             anvil                    
guile                               aces, faster             
guppy                               anvil, bridges2          
guppy-gpu                           bridges2                 
gurobi                              anvil, bridges2, delta   
gurobi-dev                          delta                    
gymnasium                           faster                   
gzip                                aces, faster             
h5py                                aces, faster             
hadoop                              anvil, expanse           
hail                                anvil                    
hap.py                              anvil                    
harfbuzz                            aces, faster, ookami     
hashdeep                            bridges2                 
hatchling                           aces, faster             
hdbscan                             faster                   
hdf                                 anvil, aces, faster, expanse
hdf-eos                             aces                     
hdf-eos5                            aces                     
hdf4                                darwin                   
hdf5                                anvil, bridges2, darwin, aces, faster, delta, expanse, stampede3
helen                               anvil                    
help2man                            aces, faster             
hh-suite                            aces, faster             
hic-pro                             anvil                    
hicexplorer                         anvil                    
hifiasm                             anvil, faster            
highway                             aces, faster             
hipify-clang                        faster                   
hipsycl                             faster                   
hiredis                             aces, faster             
hisat2                              anvil, bridges2, aces, faster, expanse
hmmer                               anvil, bridges2, aces, faster
homer                               anvil, bridges2          
homopolish                          anvil                    
horovod                             aces, faster             
hossedu                             faster                   
how_are_we_stranded_here            anvil                    
hpc toolkit                         jetstream                
hpc-x                               aces                     
hpctoolkit                          anvil                    
hpcx                                darwin, ookami           
hpl                                 faster, expanse          
hprc_utils                          aces                     
htop                                faster, delta, ookami    
htseq                               anvil, aces, faster      
htslib                              anvil, bridges2, aces, faster, expanse
htstream                            anvil                    
https                               aces, faster             
humann                              anvil, aces              
hunspell                            aces, faster             
hwloc                               anvil, darwin, kyric, kyric, aces, faster, delta, expanse, ookami
hyper-shell                         anvil                    
hyperopt                            aces                     
hyphen                              faster                   
hyphy                               anvil                    
hypo                                anvil                    
hypothesis                          aces, faster             
hypre                               aces, faster, expanse, stampede3
iccifort                            faster                   
iccifortcuda                        faster                   
icu                                 aces, faster             
icu4c                               darwin, kyric            
idba                                anvil                    
idev                                stampede3                
idl                                 darwin, expanse, stampede3
igenomes/agpv3                      anvil                    
igenomes/bdgp6                      anvil                    
igenomes/bostau8                    anvil                    
igenomes/canfam3                    anvil                    
igenomes/canfam3.1                  anvil                    
igenomes/ce10                       anvil                    
igenomes/chimp2.1.4                 anvil                    
igenomes/danrer10                   anvil                    
igenomes/dm6                        anvil                    
igenomes/eb1                        anvil                    
igenomes/eb2                        anvil                    
igenomes/ef2                        anvil                    
igenomes/equcab2                    anvil                    
igenomes/galgal4                    anvil                    
igenomes/gm01                       anvil                    
igenomes/grch37                     anvil                    
igenomes/grch38                     anvil                    
igenomes/grcm38                     anvil                    
igenomes/grcz10                     anvil                    
igenomes/hg19                       anvil                    
igenomes/hg38                       anvil                    
igenomes/irgsp-1.0                  anvil                    
igenomes/mm10                       anvil                    
igenomes/mmul_1                     anvil                    
igenomes/pantro4                    anvil                    
igenomes/r64-1-1                    anvil                    
igenomes/rn6                        anvil                    
igenomes/rnor_5.0                   anvil                    
igenomes/rnor_6.0                   anvil                    
igenomes/saccer3                    anvil                    
igenomes/sbi1                       anvil                    
igenomes/sscrofa10.2                anvil                    
igenomes/susscr3                    anvil                    
igenomes/tair10                     anvil                    
igenomes/umd3.1                     anvil                    
igenomes/wbcel235                   anvil                    
igprof                              aces, faster             
igv                                 anvil, faster            
iimkl                               faster                   
iimpi                               aces, faster             
iimpic                              faster                   
imageio                             aces, faster             
imagej                              aces, faster             
imagemagick                         aces, faster, delta, expanse, ookami
imake                               aces                     
imath                               aces, faster             
imb                                 kyric                    
imbalanced-learn                    aces                     
imkl                                aces, faster             
imkl-fftw                           aces, faster             
iml                                 aces                     
impi                                anvil, aces, faster, stampede3
impute2                             anvil                    
including                           aces, faster             
infernal                            anvil, bridges2          
info                                ookami                   
init_opencl                         kyric                    
inputproto                          delta                    
inq                                 faster                   
inspector                           kyric                    
instrain                            anvil                    
intarna                             anvil                    
intel                               anvil, bridges2, darwin, kyric, aces, faster, delta, expanse, ookami, stampede3
intel compiler                      jetstream                
intel-advisor                       bridges2                 
intel-ccl                           bridges2                 
intel-compiler                      bridges2                 
intel-compiler-rt                   bridges2                 
intel-compiler-rt32                 bridges2                 
intel-compiler32                    bridges2                 
intel-compilers                     aces, faster             
intel-dal                           bridges2                 
intel-debugger                      bridges2                 
intel-dev-utilities                 bridges2                 
intel-dnnl                          bridges2                 
intel-dnnl-cpu-gomp                 bridges2                 
intel-dnnl-cpu-iomp                 bridges2                 
intel-dnnl-cpu-tbb                  bridges2                 
intel-dpct                          bridges2                 
intel-dpl                           bridges2                 
intel-icc                           bridges2                 
intel-icc32                         bridges2                 
intel-inspector                     bridges2                 
intel-ipp-ia32                      bridges2                 
intel-ipp-intel64                   bridges2                 
intel-ippcp-ia32                    bridges2                 
intel-ippcp-intel64                 bridges2                 
intel-itac                          bridges2                 
intel-mkl                           anvil, bridges2, darwin, expanse
intel-mkl32                         bridges2                 
intel-mpi                           bridges2, expanse        
intel-oclfpga                       bridges2                 
intel-oneapi                        bridges2, darwin         
intel-oneapi-advisor                delta                    
intel-oneapi-compilers              delta                    
intel-oneapi-mkl                    darwin, delta            
intel-oneapi-mpi                    delta                    
intel-python                        darwin, faster           
intel-tbb                           bridges2, delta, expanse 
intel-tbb32                         bridges2                 
intel-vtune                         bridges2                 
intel_ai_toolkit                    delta                    
intel_ipp_ia32                      kyric                    
intel_ipp_intel64                   kyric                    
intel_ippcp_ia32                    kyric                    
intel_ippcp_intel64                 kyric                    
intelcuda                           faster                   
intelmpi                            bridges2                 
intelpython                         aces                     
interproscan                        anvil, faster            
intltool                            aces, faster             
iomkl                               faster                   
iompi                               faster                   
ior                                 delta, expanse           
iperf3                              delta                    
ipmitool                            ookami                   
ipython                             aces, faster             
iq-tree                             expanse                  
iqtree                              anvil                    
iqtree2                             anvil                    
irods-icommands                     bridges2                 
isa-l                               aces, faster             
isl                                 aces, faster             
ismapper                            anvil                    
isoquant                            anvil                    
isoseq3                             anvil                    
itac                                kyric, stampede3         
itk                                 aces, faster             
ivar                                anvil                    
jags                                faster, expanse          
jansson                             aces, faster             
jasper                              aces, faster, expanse    
java                                aces, faster             
jax                                 aces, faster             
jbigkit                             aces, faster             
jcvi                                anvil                    
jdftx                               faster                   
jdk                                 darwin                   
jellyfish                           expanse                  
jemalloc                            aces, faster             
jmol                                aces                     
json-c                              kyric, aces, faster      
jsoncpp                             aces, faster             
judy                                faster                   
julia                               anvil, bridges2, darwin, aces, faster, delta, expanse, ookami
junit                               faster                   
jupyter                             anvil, ookami, jetstream 
jupyter-server                      aces                     
jupyterhub                          jetstream                
jupyterlab                          aces, jetstream          
jupyterlmod                         aces                     
jupyternotebook                     aces                     
kahip                               aces, faster             
kaiju                               anvil                    
kakscalculator2                     anvil                    
kalign                              aces, faster             
kallisto                            anvil, expanse           
kblas-gpu                           aces                     
kbproto                             delta                    
kcachegrind                         darwin                   
kentutils                           anvil                    
keras                               aces, faster             
khmer                               anvil                    
kim-api                             aces, faster             
kineto                              aces                     
kissde                              anvil                    
kissplice                           anvil                    
kissplice2refgenome                 anvil                    
kma                                 anvil                    
kmc                                 anvil                    
kmer-jellyfish                      anvil                    
kmergenie                           anvil                    
kneaddata                           anvil                    
knime                               bridges2                 
knitro                              faster                   
kokkos                              delta, expanse, ookami, stampede3
kover                               anvil                    
kraken                              faster                   
kraken2                             anvil, bridges2, aces    
krakentools                         anvil                    
kyric/containers/r                  kyric                    
kyric/miniconda3                    kyric                    
kyric/spack                         kyric                    
lambda                              anvil                    
lame                                aces, faster             
lammps                              anvil, bridges2, darwin, aces, faster, delta, expanse, ookami, stampede3
lapack                              darwin, ookami           
lasso-python                        aces                     
last                                anvil                    
lastz                               anvil                    
latest                              ookami                   
latex                               faster                   
launcher                            anvil                    
lazygit                             bridges2                 
lddt                                faster                   
ldhat                               anvil                    
ldjump                              anvil                    
ldsc                                anvil                    
learning                            anvil                    
leptonica                           aces, faster             
